altitude_km,temperature_k,pression_pa,pression_bar,co2_ppm,pression_partielle_co2_pa,concentration_co2_molecules_m3
8.199999999999999289e+00,2.348499999999999659e+02,3.458175329442153452e+04,3.458175329442153556e-01,4.200000000000000000e+02,1.452433638365704383e+01,4.479426876383813435e+21
8.300000000000000711e+00,2.341999999999999886e+02,3.408165245759490062e+04,3.408165245759490203e-01,4.200000000000000000e+02,1.431429403218985641e+01,4.426900496715513070e+21
8.400000000000000355e+00,2.335499999999999829e+02,3.358742395009477332e+04,3.358742395009477466e-01,4.200000000000000000e+02,1.410671805903980314e+01,4.374846627262392959e+21
8.500000000000000000e+00,2.328999999999999773e+02,3.309901487335802085e+04,3.309901487335802361e-01,4.200000000000000000e+02,1.390158624681036770e+01,4.323262314806077555e+21
8.599999999999999645e+00,2.322499999999999716e+02,3.261637265989924708e+04,3.261637265989924539e-01,4.200000000000000000e+02,1.369887651715768229e+01,4.272144616432496280e+21
8.699999999999999289e+00,2.315999999999999659e+02,3.213944507215389604e+04,3.213944507215389379e-01,4.200000000000000000e+02,1.349856693030463539e+01,4.221490599524524098e+21
8.800000000000000711e+00,2.309499999999999886e+02,3.166818020132236416e+04,3.166818020132236566e-01,4.200000000000000000e+02,1.330063568455539169e+01,4.171297341754628375e+21
8.900000000000000355e+00,2.302999999999999829e+02,3.120252646621481108e+04,3.120252646621481385e-01,4.200000000000000000e+02,1.310506111581021926e+01,4.121561931077491622e+21
9.000000000000000000e+00,2.296499999999999773e+02,3.074243261209689808e+04,3.074243261209689826e-01,4.200000000000000000e+02,1.291182169708069694e+01,4.072281465722622181e+21
9.099999999999999645e+00,2.289999999999999716e+02,3.028784770953623956e+04,3.028784770953624195e-01,4.200000000000000000e+02,1.272089603800522006e+01,4.023453054186936599e+21
9.199999999999999289e+00,2.283499999999999659e+02,2.983872115324986953e+04,2.983872115324986973e-01,4.200000000000000000e+02,1.253226288436494329e+01,3.975073815227357200e+21
9.300000000000000711e+00,2.276999999999999886e+02,2.939500266095230472e+04,2.939500266095230741e-01,4.200000000000000000e+02,1.234590111759996667e+01,3.927140877853353574e+21
9.400000000000000355e+00,2.270499999999999829e+02,2.895664227220454995e+04,2.895664227220455245e-01,4.200000000000000000e+02,1.216178975432590903e+01,3.879651381319486669e+21
9.500000000000000000e+00,2.263999999999999773e+02,2.852359034726414393e+04,2.852359034726414388e-01,4.200000000000000000e+02,1.197990794585093965e+01,3.832602475117964952e+21
9.599999999999999645e+00,2.257499999999999716e+02,2.809579756593565617e+04,2.809579756593565403e-01,4.200000000000000000e+02,1.180023497769297514e+01,3.785991318971127693e+21
9.699999999999999289e+00,2.250999999999999659e+02,2.767321492642231533e+04,2.767321492642231262e-01,4.200000000000000000e+02,1.162275026909737186e+01,3.739815082823959183e+21
9.800000000000000711e+00,2.244499999999999886e+02,2.725579374417847066e+04,2.725579374417846923e-01,4.200000000000000000e+02,1.144743337255495597e+01,3.694070946836576731e+21
9.900000000000000355e+00,2.237999999999999829e+02,2.684348565076259911e+04,2.684348565076259963e-01,4.200000000000000000e+02,1.127426397332029140e+01,3.648756101376673579e+21
1.000000000000000000e+01,2.231499999999999773e+02,2.643624259269160029e+04,2.643624259269160004e-01,4.200000000000000000e+02,1.110322188893047191e+01,3.603867747011986457e+21
1.009999999999999964e+01,2.225000000000000000e+02,2.603401683029570995e+04,2.603401683029570868e-01,4.200000000000000000e+02,1.093428706872419731e+01,3.559403094502737969e+21
1.019999999999999929e+01,2.218499999999999659e+02,2.563676093657406091e+04,2.563676093657406008e-01,4.200000000000000000e+02,1.076743959336110379e+01,3.515359364794020790e+21
1.030000000000000071e+01,2.211999999999999886e+02,2.524442779605159740e+04,2.524442779605159948e-01,4.200000000000000000e+02,1.060265967434166967e+01,3.471733789008234283e+21
1.040000000000000036e+01,2.205499999999999829e+02,2.485697060363635683e+04,2.485697060363635802e-01,4.200000000000000000e+02,1.043992765352726870e+01,3.428523608437444575e+21
1.050000000000000000e+01,2.198999999999999773e+02,2.447434286347789384e+04,2.447434286347789367e-01,4.200000000000000000e+02,1.027922400266071534e+01,3.385726074535762985e+21
1.059999999999999964e+01,2.192500000000000000e+02,2.409649838782646111e+04,2.409649838782646214e-01,4.200000000000000000e+02,1.012052932288711204e+01,3.343338448911690367e+21
1.069999999999999929e+01,2.185999999999999659e+02,2.372339129589303775e+04,2.372339129589303708e-01,4.200000000000000000e+02,9.963824344275074907e+00,3.301358003320456217e+21
1.080000000000000071e+01,2.179499999999999886e+02,2.335497601271036910e+04,2.335497601271036838e-01,4.200000000000000000e+02,9.809089925338353666e+00,3.259782019656339423e+21
1.090000000000000036e+01,2.172999999999999829e+02,2.299120726799452314e+04,2.299120726799452341e-01,4.200000000000000000e+02,9.656307052557698611e+00,3.218607789944949703e+21
1.100000000000000000e+01,2.166499999999999773e+02,2.263204009500779284e+04,2.263204009500779379e-01,4.200000000000000000e+02,9.505456839903272837e+00,3.177832616335536816e+21
1.109999999999999964e+01,2.166499999999999773e+02,2.227795786687971122e+04,2.227795786687971069e-01,4.200000000000000000e+02,9.356742304089477713e+00,3.128114868899308634e+21
1.119999999999999929e+01,2.166499999999999773e+02,2.192941531717875841e+04,2.192941531717875758e-01,4.200000000000000000e+02,9.210354433215076853e+00,3.079174964322842444e+21
1.130000000000000071e+01,2.166499999999999773e+02,2.158632577666643556e+04,2.158632577666643459e-01,4.200000000000000000e+02,9.066256826199902363e+00,3.031000733118465835e+21
1.140000000000000036e+01,2.166499999999999773e+02,2.124860393205965374e+04,2.124860393205965370e-01,4.200000000000000000e+02,8.924413651465053832e+00,2.983580196192271204e+21
1.150000000000000000e+01,2.166499999999999773e+02,2.091616580481657002e+04,2.091616580481656940e-01,4.200000000000000000e+02,8.784789638022958869e+00,2.936901561865372959e+21
1.159999999999999964e+01,2.166499999999999773e+02,2.058892873025432345e+04,2.058892873025432446e-01,4.200000000000000000e+02,8.647350066706815497e+00,2.890953222941763437e+21
1.169999999999999929e+01,2.166499999999999773e+02,2.026681133699348720e+04,2.026681133699348714e-01,4.200000000000000000e+02,8.512060761537263431e+00,2.845723753822050320e+21
1.180000000000000071e+01,2.166499999999999773e+02,1.994973352672409601e+04,1.994973352672409495e-01,4.200000000000000000e+02,8.378888081224118878e+00,2.801201907662339965e+21
1.190000000000000036e+01,2.166499999999999773e+02,1.963761645428827615e+04,1.963761645428827585e-01,4.200000000000000000e+02,8.247798910801074967e+00,2.757376613577584017e+21
1.200000000000000000e+01,2.166499999999999773e+02,1.933038250807443546e+04,1.933038250807443681e-01,4.200000000000000000e+02,8.118760653391262849e+00,2.714236973888664764e+21
1.209999999999999964e+01,2.166499999999999773e+02,1.902795529071824421e+04,1.902795529071824310e-01,4.200000000000000000e+02,7.991741222101661712e+00,2.671772261412563321e+21
1.219999999999999929e+01,2.166499999999999773e+02,1.873025960010548079e+04,1.873025960010548108e-01,4.200000000000000000e+02,7.866709032044301608e+00,2.629971916794914406e+21
1.230000000000000071e+01,2.166499999999999773e+02,1.843722141067219127e+04,1.843722141067219156e-01,4.200000000000000000e+02,7.743632992482319288e+00,2.588825545884302836e+21
1.240000000000000036e+01,2.166499999999999773e+02,1.814876785499730613e+04,1.814876785499730527e-01,4.200000000000000000e+02,7.622482499098867770e+00,2.548322917147629584e+21
1.250000000000000000e+01,2.166499999999999773e+02,1.786482720568331933e+04,1.786482720568332017e-01,4.200000000000000000e+02,7.503227426386993137e+00,2.508453959125921432e+21
1.259999999999999964e+01,2.166499999999999773e+02,1.758532885752040602e+04,1.758532885752040476e-01,4.200000000000000000e+02,7.385838120158569886e+00,2.469208757929944023e+21
1.269999999999999929e+01,2.166499999999999773e+02,1.731020330992961317e+04,1.731020330992961431e-01,4.200000000000000000e+02,7.270285390170436735e+00,2.430577554774994977e+21
1.280000000000000071e+01,2.166499999999999773e+02,1.703938214968069951e+04,1.703938214968069853e-01,4.200000000000000000e+02,7.156540502865893494e+00,2.392550743554266235e+21
1.290000000000000036e+01,2.166499999999999773e+02,1.677279803388038999e+04,1.677279803388039003e-01,4.200000000000000000e+02,7.044575174229763093e+00,2.355118868450171421e+21
1.300000000000000000e+01,2.166499999999999773e+02,1.651038467322676297e+04,1.651038467322676340e-01,4.200000000000000000e+02,6.934361562755239738e+00,2.318272621583046803e+21
1.309999999999999964e+01,2.166499999999999773e+02,1.625207681552561917e+04,1.625207681552561789e-01,4.200000000000000000e+02,6.825872262520759293e+00,2.282002840696633688e+21
1.319999999999999929e+01,2.166499999999999773e+02,1.599781022946476332e+04,1.599781022946476228e-01,4.200000000000000000e+02,6.719080296375199879e+00,2.246300506879775998e+21
1.330000000000000071e+01,2.166499999999999773e+02,1.574752168864211853e+04,1.574752168864211876e-01,4.200000000000000000e+02,6.613959109229688771e+00,2.211156742323761578e+21
1.340000000000000036e+01,2.166499999999999773e+02,1.550114895584373335e+04,1.550114895584373265e-01,4.200000000000000000e+02,6.510482561454367101e+00,2.176562808114749374e+21
1.350000000000000000e+01,2.166499999999999773e+02,1.525863076756776354e+04,1.525863076756776293e-01,4.200000000000000000e+02,6.408624922378460376e+00,2.142510102060734611e+21
1.359999999999999964e+01,2.166499999999999773e+02,1.501990681879056865e+04,1.501990681879056821e-01,4.200000000000000000e+02,6.308360863892038317e+00,2.108990156552511422e+21
1.369999999999999929e+01,2.166499999999999773e+02,1.478491774797115795e+04,1.478491774797115743e-01,4.200000000000000000e+02,6.209665454147885733e+00,2.075994636458102096e+21
1.380000000000000071e+01,2.166499999999999773e+02,1.455360512229024243e+04,1.455360512229024184e-01,4.200000000000000000e+02,6.112514151361901682e+00,2.043515337050128384e+21
1.390000000000000036e+01,2.166499999999999773e+02,1.432591142312021293e+04,1.432591142312021337e-01,4.200000000000000000e+02,6.016882797710488617e+00,2.011544181965606355e+21
1.400000000000000000e+01,2.166499999999999773e+02,1.410178003172245553e+04,1.410178003172245509e-01,4.200000000000000000e+02,5.922747613323430471e+00,1.980073221197665141e+21
1.409999999999999964e+01,2.166499999999999773e+02,1.388115521516843364e+04,1.388115521516843365e-01,4.200000000000000000e+02,5.830085190370741799e+00,1.949094629118683120e+21
1.419999999999999929e+01,2.166499999999999773e+02,1.366398211248102962e+04,1.366398211248102956e-01,4.200000000000000000e+02,5.738872487242032250e+00,1.918600702534351585e+21
1.430000000000000071e+01,2.166499999999999773e+02,1.345020672099271542e+04,1.345020672099271619e-01,4.200000000000000000e+02,5.649086822816940412e+00,1.888583858768185131e+21
1.440000000000000036e+01,2.166499999999999773e+02,1.323977588291714710e+04,1.323977588291714580e-01,4.200000000000000000e+02,5.560705870825201735e+00,1.859036633775999549e+21
1.450000000000000000e+01,2.166499999999999773e+02,1.303263727213084712e+04,1.303263727213084811e-01,4.200000000000000000e+02,5.473707654294955205e+00,1.829951680289886700e+21
1.459999999999999964e+01,2.166499999999999773e+02,1.282873938116170757e+04,1.282873938116170787e-01,4.200000000000000000e+02,5.388070540087916527e+00,1.801321765991233356e+21
1.469999999999999929e+01,2.166499999999999773e+02,1.262803150838102192e+04,1.262803150838102129e-01,4.200000000000000000e+02,5.303773233520028718e+00,1.773139771712314016e+21
1.480000000000000071e+01,2.166499999999999773e+02,1.243046374539594945e+04,1.243046374539594906e-01,4.200000000000000000e+02,5.220794773066298688e+00,1.745398689666029584e+21
1.490000000000000036e+01,2.166499999999999773e+02,1.223598696463918532e+04,1.223598696463918528e-01,4.200000000000000000e+02,5.139114525148457346e+00,1.718091621703336067e+21
1.500000000000000000e+01,2.166499999999999773e+02,1.204455280715281333e+04,1.204455280715281268e-01,4.200000000000000000e+02,5.058712179004181131e+00,1.691211777597938860e+21
1.509999999999999964e+01,2.166499999999999773e+02,1.185611367056328163e+04,1.185611367056328136e-01,4.200000000000000000e+02,4.979567741636578226e+00,1.664752473357822722e+21
1.519999999999999929e+01,2.166499999999999773e+02,1.167062269724449106e+04,1.167062269724449125e-01,4.200000000000000000e+02,4.901661532842686242e+00,1.638707129563195113e+21
1.530000000000000071e+01,2.166499999999999773e+02,1.148803376266612031e+04,1.148803376266612081e-01,4.200000000000000000e+02,4.824974180319769879e+00,1.613069269730439725e+21
1.540000000000000036e+01,2.166499999999999773e+02,1.130830146392418283e+04,1.130830146392418217e-01,4.200000000000000000e+02,4.749486614848156485e+00,1.587832518701659193e+21
1.550000000000000000e+01,2.166499999999999773e+02,1.113138110845107985e+04,1.113138110845107998e-01,4.200000000000000000e+02,4.675180065549453090e+00,1.562990601059417194e+21
1.559999999999999964e+01,2.166499999999999773e+02,1.095722870290225001e+04,1.095722870290224971e-01,4.200000000000000000e+02,4.602036055218944988e+00,1.538537339566281196e+21
1.569999999999999929e+01,2.166499999999999773e+02,1.078580094221670697e+04,1.078580094221670699e-01,4.200000000000000000e+02,4.530036395731016796e+00,1.514466653628779463e+21
1.580000000000000071e+01,2.166499999999999773e+02,1.061705519884872774e+04,1.061705519884872800e-01,4.200000000000000000e+02,4.459163183516465345e+00,1.490772557785389859e+21
1.590000000000000036e+01,2.166499999999999773e+02,1.045094951216799200e+04,1.045094951216799239e-01,4.200000000000000000e+02,4.389398795110555973e+00,1.467449160218181894e+21
1.600000000000000000e+01,2.166499999999999773e+02,1.028744257802559514e+04,1.028744257802559486e-01,4.200000000000000000e+02,4.320725882770749315e+00,1.444490661287749747e+21
1.610000000000000142e+01,2.166499999999999773e+02,1.012649373848326650e+04,1.012649373848326650e-01,4.200000000000000000e+02,4.253127370162971488e+00,1.421891352091059814e+21
