altitude_km,temperature_k,pression_pa,pression_hpa,co2_ppm,pression_partielle_co2_pa,concentration_co2_molecules_m3
5.299999999999999822e+00,2.537286990106672704e+02,5.191995940389784664e+04,5.191995940389784892e+02,4.200000000000000000e+02,2.180638294963709356e+01,6.224876783018417586e+21
5.400000000000000355e+00,2.530797917407373347e+02,5.122584757975358661e+04,5.122584757975358798e+02,4.200000000000000000e+02,2.151485598349650274e+01,6.157404606407639040e+21
5.500000000000000000e+00,2.524309048694285877e+02,5.053929036044116947e+04,5.053929036044116856e+02,4.200000000000000000e+02,2.122650195138528773e+01,6.090495451500755550e+21
5.599999999999999645e+00,2.517820383957791535e+02,4.986022433700029796e+04,4.986022433700029524e+02,4.200000000000000000e+02,2.094129422154012232e+01,6.024146026489353077e+21
5.700000000000000178e+00,2.511331923188272981e+02,4.918858647484454559e+04,4.918858647484454423e+02,4.200000000000000000e+02,2.065920631943470909e+01,5.958353050618758693e+21
5.799999999999999822e+00,2.504843666376112878e+02,4.852431411247561482e+04,4.852431411247561641e+02,4.200000000000000000e+02,2.038021192723975616e+01,5.893113254177751958e+21
5.900000000000000355e+00,2.498355613511694457e+02,4.786734496019929793e+04,4.786734496019929566e+02,4.200000000000000000e+02,2.010428488328370378e+01,5.828423378488321376e+21
6.000000000000000000e+00,2.491867764585401801e+02,4.721761709884287848e+04,4.721761709884287939e+02,4.200000000000000000e+02,1.983139918151400849e+01,5.764280175895398842e+21
6.099999999999999645e+00,2.485380119587619561e+02,4.657506897847368964e+04,4.657506897847368919e+02,4.200000000000000000e+02,1.956152897095894616e+01,5.700680409756590932e+21
6.200000000000000178e+00,2.478892678508732956e+02,4.593963941711895313e+04,4.593963941711895131e+02,4.200000000000000000e+02,1.929464855518995847e+01,5.637620854431870353e+21
6.299999999999999822e+00,2.472405441339127776e+02,4.531126759948727704e+04,4.531126759948727454e+02,4.200000000000000000e+02,1.903073239178465315e+01,5.575098295273304097e+21
6.400000000000000355e+00,2.465918408069190377e+02,4.468989307569118682e+04,4.468989307569118523e+02,4.200000000000000000e+02,1.876975509179029800e+01,5.513109528614733349e+21
6.500000000000000000e+00,2.459431578689308253e+02,4.407545575997134438e+04,4.407545575997134506e+02,4.200000000000000000e+02,1.851169141918796157e+01,5.451651361761482768e+21
6.599999999999999645e+00,2.452944953189868045e+02,4.346789592942158924e+04,4.346789592942158720e+02,4.200000000000000000e+02,1.825651629035706591e+01,5.390720612979996361e+21
6.700000000000000178e+00,2.446458531561258951e+02,4.286715422271608259e+04,4.286715422271608418e+02,4.200000000000000000e+02,1.800420477354075288e+01,5.330314111487548850e+21
6.799999999999999822e+00,2.439972313793869603e+02,4.227317163883715693e+04,4.227317163883715807e+02,4.200000000000000000e+02,1.775473208831160576e+01,5.270428697441883652e+21
6.900000000000000355e+00,2.433486299878088914e+02,4.168588953580473026e+04,4.168588953580472776e+02,4.200000000000000000e+02,1.750807360503798549e+01,5.211061221930846650e+21
7.000000000000000000e+00,2.427000489804307506e+02,4.110524962940734258e+04,4.110524962940734213e+02,4.200000000000000000e+02,1.726420484435108094e+01,5.152208546962053530e+21
7.099999999999999645e+00,2.420514883562915713e+02,4.053119399193404388e+04,4.053119399193404320e+02,4.200000000000000000e+02,1.702310147661229678e+01,5.093867545452489998e+21
7.200000000000000178e+00,2.414029481144305009e+02,3.996366505090818100e+04,3.996366505090817896e+02,4.200000000000000000e+02,1.678473932138143354e+01,5.036035101218151858e+21
7.299999999999999822e+00,2.407544282538867151e+02,3.940260558782218868e+04,3.940260558782218823e+02,4.200000000000000000e+02,1.654909434688531888e+01,4.978708108963648373e+21
7.400000000000000355e+00,2.401059287736994747e+02,3.884795873687375570e+04,3.884795873687375547e+02,4.200000000000000000e+02,1.631614266948697534e+01,4.921883474271787811e+21
7.500000000000000000e+00,2.394574496729080693e+02,3.829966798370352626e+04,3.829966798370352876e+02,4.200000000000000000e+02,1.608586055315548080e+01,4.865558113593175572e+21
7.599999999999999645e+00,2.388089909505518449e+02,3.775767716413410380e+04,3.775767716413410540e+02,4.200000000000000000e+02,1.585822440893632290e+01,4.809728954235797635e+21
7.700000000000000178e+00,2.381605526056702615e+02,3.722193046291035716e+04,3.722193046291035898e+02,4.200000000000000000e+02,1.563321079442234840e+01,4.754392934354579882e+21
7.799999999999999822e+00,2.375121346373028359e+02,3.669237241244119650e+04,3.669237241244119900e+02,4.200000000000000000e+02,1.541079641322530058e+01,4.699547002940958966e+21
7.900000000000000355e+00,2.368637370444890280e+02,3.616894789154240425e+04,3.616894789154240470e+02,4.200000000000000000e+02,1.519095811444780786e+01,4.645188119812399170e+21
8.000000000000000000e+00,2.362153598262685250e+02,3.565160212418146693e+04,3.565160212418146557e+02,4.200000000000000000e+02,1.497367289215621433e+01,4.591313255601973756e+21
8.099999999999999645e+00,2.355670029816809574e+02,3.514028067822308367e+04,3.514028067822308117e+02,4.200000000000000000e+02,1.475891788485369460e+01,4.537919391747858760e+21
8.199999999999999289e+00,2.349186665097660978e+02,3.463492946417646453e+04,3.463492946417646294e+02,4.200000000000000000e+02,1.454667037495411464e+01,4.485003520482861384e+21
8.300000000000000711e+00,2.342703504095636902e+02,3.413549473394383676e+04,3.413549473394383540e+02,4.200000000000000000e+02,1.433690778825640955e+01,4.432562644823922180e+21
8.400000000000000355e+00,2.336220546801135924e+02,3.364192307957040612e+04,3.364192307957040384e+02,4.200000000000000000e+02,1.412960769341956890e+01,4.380593778561617232e+21
8.500000000000000000e+00,2.329737793204557192e+02,3.315416143199565704e+04,3.315416143199565795e+02,4.200000000000000000e+02,1.392474780143817448e+01,4.329093946249637790e+21
8.599999999999999645e+00,2.323255243296300421e+02,3.267215705980597340e+04,3.267215705980597136e+02,4.200000000000000000e+02,1.372230596511850820e+01,4.278060183194264666e+21
8.699999999999999289e+00,2.316772897066766177e+02,3.219585756798872535e+04,3.219585756798872467e+02,4.200000000000000000e+02,1.352226017855526408e+01,4.227489535443833717e+21
8.800000000000000711e+00,2.310290754506354745e+02,3.172521089668760033e+04,3.172521089668759942e+02,4.200000000000000000e+02,1.332458857660879126e+01,4.177379059778180874e+21
8.900000000000000355e+00,2.303808815605468396e+02,3.126016531995954210e+04,3.126016531995954324e+02,4.200000000000000000e+02,1.312926943438300675e+01,4.127725823698098717e+21
9.000000000000000000e+00,2.297327080354508553e+02,3.080066944453274846e+04,3.080066944453274687e+02,4.200000000000000000e+02,1.293628116670375405e+01,4.078526905414750568e+21
9.099999999999999645e+00,2.290845548743878339e+02,3.034667220856632775e+04,3.034667220856632639e+02,4.200000000000000000e+02,1.274560232759785627e+01,4.029779393839099281e+21
9.199999999999999289e+00,2.284364220763981166e+02,2.989812288041124702e+04,2.989812288041124475e+02,4.200000000000000000e+02,1.255721160977272177e+01,3.981480388571321860e+21
9.300000000000000711e+00,2.277883096405220726e+02,2.945497105737249512e+04,2.945497105737249512e+02,4.200000000000000000e+02,1.237108784409644713e+01,3.933626999890188960e+21
9.400000000000000355e+00,2.271402175658001852e+02,2.901716666447286116e+04,2.901716666447285888e+02,4.200000000000000000e+02,1.218720999907860048e+01,3.886216348742460113e+21
9.500000000000000000e+00,2.264921458512729373e+02,2.858465995321801893e+04,2.858465995321801643e+02,4.200000000000000000e+02,1.200555718035156616e+01,3.839245566732266373e+21
9.599999999999999645e+00,2.258440944959808974e+02,2.815740150036294290e+04,2.815740150036294267e+02,4.200000000000000000e+02,1.182610863015243474e+01,3.792711796110465171e+21
9.699999999999999289e+00,2.251960634989647190e+02,2.773534220667969930e+04,2.773534220667970089e+02,4.200000000000000000e+02,1.164884372680547209e+01,3.746612189763987309e+21
9.800000000000000711e+00,2.245480528592650842e+02,2.731843329572676157e+04,2.731843329572675998e+02,4.200000000000000000e+02,1.147374198420523861e+01,3.700943911205193908e+21
9.900000000000000355e+00,2.239000625759227603e+02,2.690662631261953356e+04,2.690662631261953379e+02,4.200000000000000000e+02,1.130078305130020233e+01,3.655704134561190380e+21
1.000000000000000000e+01,2.232520926479785714e+02,2.649987312280236438e+04,2.649987312280236438e+02,4.200000000000000000e+02,1.112994671157699145e+01,3.610890044563150864e+21
1.009999999999999964e+01,2.226041430744733702e+02,2.609812591082185463e+04,2.609812591082185236e+02,4.200000000000000000e+02,1.096121288254517800e+01,3.566498836535614374e+21
1.019999999999999929e+01,2.219562138544480945e+02,2.570133717910180712e+04,2.570133717910180735e+02,4.200000000000000000e+02,1.079456161522275792e+01,3.522527716385798226e+21
1.030000000000000071e+01,2.213083049869437389e+02,2.530945974671913427e+04,2.530945974671913348e+02,4.200000000000000000e+02,1.062997309362203602e+01,3.478973900592853811e+21
1.040000000000000036e+01,2.206604164710013549e+02,2.492244674818162821e+04,2.492244674818162764e+02,4.200000000000000000e+02,1.046742763423628375e+01,3.435834616197162205e+21
1.050000000000000000e+01,2.200125483056621079e+02,2.454025163220680770e+04,2.454025163220680668e+02,4.200000000000000000e+02,1.030690568552685882e+01,3.393107100789579973e+21
1.059999999999999964e+01,2.193647004899671060e+02,2.416282816050218025e+04,2.416282816050218116e+02,4.200000000000000000e+02,1.014838782741091450e+01,3.350788602500678156e+21
1.069999999999999929e+01,2.187168730229576283e+02,2.379013040654705037e+04,2.379013040654704980e+02,4.200000000000000000e+02,9.991854770749760917e+00,3.308876379989985460e+21
1.080000000000000071e+01,2.180690659036749537e+02,2.342211275437567747e+04,2.342211275437567792e+02,4.200000000000000000e+02,9.837287356837784102e+00,3.267367702435213083e+21
1.090000000000000036e+01,2.174212791311604462e+02,2.305872989736170712e+04,2.305872989736170666e+02,4.200000000000000000e+02,9.684666556891915690e+00,3.226259849521454907e+21
1.100000000000000000e+01,2.167735127044555270e+02,2.269993683700411202e+04,2.269993683700411111e+02,4.200000000000000000e+02,9.533973471541726141e+00,3.185550111430387696e+21
1.109999999999999964e+01,2.166499999999999773e+02,2.234603326793338056e+04,2.234603326793338169e+02,4.200000000000000000e+02,9.385333972532018620e+00,3.137673540098648965e+21
1.119999999999999929e+01,2.166499999999999773e+02,2.199763931071785555e+04,2.199763931071785521e+02,4.200000000000000000e+02,9.239008510501498961e+00,3.088754499838645633e+21
1.130000000000000071e+01,2.166499999999999773e+02,2.165468780308651912e+04,2.165468780308652015e+02,4.200000000000000000e+02,9.094968877296336629e+00,3.040599650245006590e+21
1.140000000000000036e+01,2.166499999999999773e+02,2.131709355883380340e+04,2.131709355883380397e+02,4.200000000000000000e+02,8.953179294710196245e+00,2.993197030067161006e+21
1.150000000000000000e+01,2.166499999999999773e+02,2.098477272771159915e+04,2.098477272771159789e+02,4.200000000000000000e+02,8.813604545638870746e+00,2.946534865640330625e+21
1.159999999999999964e+01,2.166499999999999773e+02,2.065764277443691390e+04,2.065764277443691412e+02,4.200000000000000000e+02,8.676209965263502966e+00,2.900601567937932296e+21
