altitude_geometrique_km,altitude_geopotentielle_km,temperature_k,temperature_c,pression_pa,pression_hpa
2.799999999999999822e+00,2.798767211473236038e+00,2.699580131254239177e+02,-3.191986874576059563e+00,7.192129153855748882e+04,7.192129153855748882e+02
2.899999999999999911e+00,2.898677603509366651e+00,2.693085955771890667e+02,-3.841404422810910546e+00,7.101658515945567342e+04,7.101658515945567842e+02
3.000000000000000000e+00,2.998584853593669663e+00,2.686591984516411458e+02,-4.490801548358831496e+00,7.012114406807564956e+04,7.012114406807564819e+02
3.100000000000000089e+00,3.098488961874354075e+00,2.680098217478166589e+02,-5.140178252183318364e+00,6.923489507441654860e+04,6.923489507441654496e+02
3.200000000000000178e+00,3.198389928499617785e+00,2.673604654647524512e+02,-5.789534535247526037e+00,6.835776539542392129e+04,6.835776539542391674e+02
3.299999999999999822e+00,3.298287753617651141e+00,2.667111296014852542e+02,-6.438870398514723092e+00,6.748968265367014101e+04,6.748968265367013828e+02
3.399999999999999911e+00,3.398182437376634280e+00,2.660618141570518560e+02,-7.088185842948121262e+00,6.663057487603687332e+04,6.663057487603687150e+02
3.500000000000000000e+00,3.498073979924738897e+00,2.654125191304891587e+02,-7.737480869510818593e+00,6.578037049239921907e+04,6.578037049239921998e+02
3.600000000000000089e+00,3.597962381410126476e+00,2.647632445208341778e+02,-8.386755479165799443e+00,6.493899833431054140e+04,6.493899833431054276e+02
3.700000000000000178e+00,3.697847641980949174e+00,2.641139903271238154e+02,-9.036009672876161858e+00,6.410638763368854416e+04,6.410638763368854143e+02
3.799999999999999822e+00,3.797729761785350711e+00,2.634647565483952008e+02,-9.685243451604776510e+00,6.328246802150358417e+04,6.328246802150358690e+02
3.899999999999999911e+00,3.897608740971464147e+00,2.628155431836854632e+02,-1.033445681631451407e+01,6.246716952646732534e+04,6.246716952646733034e+02
4.000000000000000000e+00,3.997484579687414996e+00,2.621663502320317889e+02,-1.098364976796818837e+01,6.166042257372327731e+04,6.166042257372328095e+02
4.099999999999999645e+00,4.097357278081317666e+00,2.615171776924714209e+02,-1.163282230752855639e+01,6.086215798353853461e+04,6.086215798353853188e+02
4.200000000000000178e+00,4.197226836301279462e+00,2.608680255640416590e+02,-1.228197443595831828e+01,6.007230696999680367e+04,6.007230696999680504e+02
4.299999999999999822e+00,4.297093254495393921e+00,2.602188938457799168e+02,-1.293110615422006049e+01,5.929080113969285594e+04,5.929080113969286003e+02
4.400000000000000355e+00,4.396956532811751472e+00,2.595697825367236078e+02,-1.358021746327636947e+01,5.851757249042830517e+04,5.851757249042830153e+02
