altitude_km,temperature_k,pressure_pa,pressure_bar,co2_ppm,co2_partial_pressure_pa,co2_number_density_m3
1.500000000000000000e+01,2.166499999999999773e+02,1.204455280715281333e+04,1.204455280715281268e-01,4.200000000000000000e+02,5.058712179004181131e+00,1.691211777597938860e+21
1.550000000000000000e+01,2.166499999999999773e+02,1.113138110845107985e+04,1.113138110845107998e-01,4.200000000000000000e+02,4.675180065549453090e+00,1.562990601059417194e+21
1.600000000000000000e+01,2.166499999999999773e+02,1.028744257802559514e+04,1.028744257802559486e-01,4.200000000000000000e+02,4.320725882770749315e+00,1.444490661287749747e+21
1.650000000000000000e+01,2.166499999999999773e+02,9.507488223166250464e+03,9.507488223166250807e-02,4.200000000000000000e+02,3.993145053729824756e+00,1.334974931476379599e+21
1.700000000000000000e+01,2.166499999999999773e+02,8.786667009614880953e+03,8.786667009614880508e-02,4.200000000000000000e+02,3.690400144038249675e+00,1.233762263358343741e+21
1.750000000000000000e+01,2.166499999999999773e+02,8.120495689885059619e+03,8.120495689885059987e-02,4.200000000000000000e+02,3.410608189751724861e+00,1.140223150710179103e+21
1.800000000000000000e+01,2.166499999999999773e+02,7.504830919082714900e+03,7.504830919082715324e-02,4.200000000000000000e+02,3.152028986014740131e+00,1.053775814050679489e+21
1.850000000000000000e+01,2.166499999999999773e+02,6.935843484798047029e+03,6.935843484798047409e-02,4.200000000000000000e+02,2.913054263615179718e+00,9.738825821827431137e+20
1.900000000000000000e+01,2.166499999999999773e+02,6.409994490787985342e+03,6.409994490787984667e-02,4.200000000000000000e+02,2.692197686130953560e+00,9.000465480728083169e+20
1.950000000000000000e+01,2.166499999999999773e+02,5.924013346320296478e+03,5.924013346320296247e-02,4.200000000000000000e+02,2.488085605454524174e+00,8.318084782686569759e+20
2.000000000000000000e+01,2.166499999999999773e+02,5.474877424281044114e+03,5.474877424281043847e-02,4.200000000000000000e+02,2.299448518198038194e+00,7.687439566332829368e+20
2.050000000000000000e+01,2.171499999999999773e+02,5.060252921144153333e+03,5.060252921144153121e-02,4.200000000000000000e+02,2.125306226880544269e+00,7.088892626687465882e+20
2.100000000000000000e+01,2.176499999999999773e+02,4.677876050359336659e+03,4.677876050359336402e-02,4.200000000000000000e+02,1.964707941150921178e+00,6.538167558183145964e+20
2.150000000000000000e+01,2.181499999999999773e+02,4.325173136422919015e+03,4.325173136422919007e-02,4.200000000000000000e+02,1.816572717297625816e+00,6.031346610877481615e+20
2.200000000000000000e+01,2.186499999999999773e+02,3.999781120515087878e+03,3.999781120515087662e-02,4.200000000000000000e+02,1.679908070616336735e+00,5.564840898756750868e+20
2.250000000000000000e+01,2.191499999999999773e+02,3.699529900026017913e+03,3.699529900026017615e-02,4.200000000000000000e+02,1.553802558010927370e+00,5.135362133433974129e+20
2.300000000000000000e+01,2.196499999999999773e+02,3.422426184386305977e+03,3.422426184386306164e-02,4.200000000000000000e+02,1.437418997442248436e+00,4.739896843919812198e+20
2.350000000000000000e+01,2.201499999999999773e+02,3.166638733983276325e+03,3.166638733983276333e-02,4.200000000000000000e+02,1.329988268272976004e+00,4.375682858859939758e+20
2.400000000000000000e+01,2.206499999999999773e+02,2.930484860914692490e+03,2.930484860914692527e-02,4.200000000000000000e+02,1.230803641584170771e+00,4.040187848188858204e+20
2.450000000000000000e+01,2.211499999999999773e+02,2.712418081200561119e+03,2.712418081200560979e-02,4.200000000000000000e+02,1.139215594104235674e+00,3.731089739773855007e+20
2.500000000000000000e+01,2.216499999999999773e+02,2.511016817948616335e+03,2.511016817948616420e-02,4.200000000000000000e+02,1.054627063538418730e+00,3.446258843503959736e+20
2.550000000000000000e+01,2.221499999999999773e+02,2.324974063939738699e+03,2.324974063939738711e-02,4.200000000000000000e+02,9.764891068546901476e-01,3.183741530579642614e+20
2.600000000000000000e+01,2.226499999999999773e+02,2.153087920253197808e+03,2.153087920253197660e-02,4.200000000000000000e+02,9.042969265063429685e-01,2.941745329634386248e+20
2.650000000000000000e+01,2.231499999999999773e+02,1.994252934961622486e+03,1.994252934961622536e-02,4.200000000000000000e+02,8.375862326838813265e-01,2.718625313901100073e+20
2.700000000000000000e+01,2.236499999999999773e+02,1.847452172663202873e+03,1.847452172663202954e-02,4.200000000000000000e+02,7.759299125185451507e-01,2.512871665050416906e+20
2.750000000000000000e+01,2.241499999999999773e+02,1.711749951745787257e+03,1.711749951745787299e-02,4.200000000000000000e+02,7.189349797332306169e-01,2.323098309684384236e+20
2.800000000000000000e+01,2.246499999999999773e+02,1.586285191849699004e+03,1.586285191849699100e-02,4.200000000000000000e+02,6.662397805768734971e-01,2.148032533866548429e+20
2.850000000000000000e+01,2.251499999999999773e+02,1.470265319065781114e+03,1.470265319065781028e-02,4.200000000000000000e+02,6.175114340076279795e-01,1.986505489600169247e+20
2.900000000000000000e+01,2.256499999999999773e+02,1.362960681018594187e+03,1.362960681018594161e-02,4.200000000000000000e+02,5.724434860278094783e-01,1.837443514911825592e+20
2.950000000000000000e+01,2.261499999999999773e+02,1.263699428182677138e+03,1.263699428182677061e-02,4.200000000000000000e+02,5.307537598367243481e-01,1.699860196230257705e+20
3.000000000000000000e+01,2.266499999999999773e+02,1.171862821602090662e+03,1.171862821602090605e-02,4.200000000000000000e+02,4.921823850728780370e-01,1.572849108139008328e+20
3.050000000000000000e+01,2.271499999999999773e+02,1.086880930663064419e+03,1.086880930663064460e-02,4.200000000000000000e+02,4.564899908784870175e-01,1.455577171384641782e+20
3.100000000000000000e+01,2.276499999999999773e+02,1.008228687739076918e+03,1.008228687739076875e-02,4.200000000000000000e+02,4.234560488504122699e-01,1.347278575296418284e+20
3.150000000000000000e+01,2.281499999999999773e+02,9.354222694141485590e+02,9.354222694141486188e-03,4.200000000000000000e+02,3.928773531539423436e-01,1.247249215565990789e+20
3.200000000000000000e+01,2.286499999999999773e+02,8.680157766202149787e+02,8.680157766202149447e-03,4.200000000000000000e+02,3.645666261804902386e-01,1.154841602692953539e+20
3.250000000000000000e+01,2.300499999999999829e+02,8.057159893289334605e+02,8.057159893289334365e-03,4.200000000000000000e+02,3.384007155181520399e-01,1.065432038732791972e+20
3.300000000000000000e+01,2.314499999999999886e+02,7.482256521919441639e+02,7.482256521919441322e-03,4.200000000000000000e+02,3.142547739206165147e-01,9.834253886506011853e+19
3.350000000000000000e+01,2.328499999999999659e+02,6.951476924839971616e+02,6.951476924839971802e-03,4.200000000000000000e+02,2.919620308432787636e-01,9.081693713553815962e+19
3.400000000000000000e+01,2.342499999999999716e+02,6.461199247147235383e+02,6.461199247147235772e-03,4.200000000000000000e+02,2.713703683801838573e-01,8.390726049539226010e+19
3.450000000000000000e+01,2.356499999999999773e+02,6.008118026279034893e+02,6.008118026279035163e-03,4.200000000000000000e+02,2.523409571037194543e-01,7.755986048340905165e+19
3.500000000000000000e+01,2.370499999999999829e+02,5.589214904100604144e+02,5.589214904100603745e-03,4.200000000000000000e+02,2.347470259722253538e-01,7.172604040687136768e+19
3.550000000000000000e+01,2.384499999999999886e+02,5.201732201026799203e+02,5.201732201026799084e-03,4.200000000000000000e+02,2.184727524431255563e-01,6.636157284561320346e+19
3.600000000000000000e+01,2.398499999999999659e+02,4.843149057921542067e+02,4.843149057921542280e-03,4.200000000000000000e+02,2.034122604327047446e-01,6.142626662143482266e+19
3.650000000000000000e+01,2.412499999999999716e+02,4.511159883251144151e+02,4.511159883251143927e-03,4.200000000000000000e+02,1.894687150965480293e-01,5.688357791321305907e+19
3.700000000000000000e+01,2.426499999999999773e+02,4.203654871124193733e+02,4.203654871124193858e-03,4.200000000000000000e+02,1.765535045872161091e-01,5.270026079656810906e+19
3.750000000000000000e+01,2.440499999999999829e+02,3.918702380846311257e+02,3.918702380846311555e-03,4.200000000000000000e+02,1.645854999955450593e-01,4.884605301517809254e+19
3.800000000000000000e+01,2.454499999999999886e+02,3.654532990825207435e+02,3.654532990825207304e-03,4.200000000000000000e+02,1.534903856146586920e-01,4.529339325738728653e+19
3.850000000000000000e+01,2.468499999999999659e+02,3.409525059404160174e+02,3.409525059404160032e-03,4.200000000000000000e+02,1.432000524949747222e-01,4.201716662412278170e+19
3.900000000000000000e+01,2.482499999999999716e+02,3.182191642765663460e+02,3.182191642765663624e-03,4.200000000000000000e+02,1.336520489961578462e-01,3.899447533887186534e+19
3.950000000000000000e+01,2.496499999999999773e+02,2.971168635682694799e+02,2.971168635682695010e-03,4.200000000000000000e+02,1.247890826986731705e-01,3.620443207330891776e+19
4.000000000000000000e+01,2.510499999999999829e+02,2.775204014823779630e+02,2.775204014823779656e-03,4.200000000000000000e+02,1.165585686225987377e-01,3.362797354810988134e+19
4.050000000000000000e+01,2.524499999999999886e+02,2.593148076734341885e+02,2.593148076734341952e-03,4.200000000000000000e+02,1.089122192228423464e-01,3.124769232194586214e+19
4.100000000000000000e+01,2.538499999999999659e+02,2.423944573692023710e+02,2.423944573692023499e-03,4.200000000000000000e+02,1.018056720950649835e-01,2.904768490644804813e+19
4.150000000000000000e+01,2.552499999999999716e+02,2.266622660518782197e+02,2.266622660518782285e-03,4.200000000000000000e+02,9.519815174178884731e-02,2.701341454445724058e+19
4.200000000000000000e+01,2.566499999999999773e+02,2.120289574261803125e+02,2.120289574261803069e-03,4.200000000000000000e+02,8.905216211899572021e-02,2.513158716608194560e+19
4.250000000000000000e+01,2.580499999999999545e+02,1.984123976545427297e+02,1.984123976545427385e-03,4.200000000000000000e+02,8.333320701490794236e-02,2.339003919457583514e+19
4.300000000000000000e+01,2.594499999999999886e+02,1.857369895452288233e+02,1.857369895452288264e-03,4.200000000000000000e+02,7.800953560899609451e-02,2.177763601410387558e+19
4.350000000000000000e+01,2.608499999999999659e+02,1.739331210105760874e+02,1.739331210105760908e-03,4.200000000000000000e+02,7.305191082444195683e-02,2.028418003610544947e+19
4.400000000000000000e+01,2.622500000000000000e+02,1.629366626778500518e+02,1.629366626778500559e-03,4.200000000000000000e+02,6.843339832469701178e-02,1.890032741194265395e+19
4.450000000000000000e+01,2.636499999999999773e+02,1.526885100416591285e+02,1.526885100416591236e-03,4.200000000000000000e+02,6.412917421749682323e-02,1.761751253841520640e+19
4.500000000000000000e+01,2.650499999999999545e+02,1.431341660008311578e+02,1.431341660008311496e-03,4.200000000000000000e+02,6.011634972034907848e-02,1.642787959088598835e+19
4.550000000000000000e+01,2.664499999999999886e+02,1.342233600298895908e+02,1.342233600298895846e-03,4.200000000000000000e+02,5.637381121255362337e-02,1.532422039742265139e+19
4.600000000000000000e+01,2.678499999999999659e+02,1.259097006006893054e+02,1.259097006006893154e-03,4.200000000000000000e+02,5.288207425228950292e-02,1.429991803757202432e+19
4.650000000000000000e+01,2.692500000000000000e+02,1.181503577979520401e+02,1.181503577979520344e-03,4.200000000000000000e+02,4.962315027513985316e-02,1.334889561210236723e+19
4.700000000000000000e+01,2.706499999999999773e+02,1.109057733673100898e+02,1.109057733673100886e-03,4.200000000000000000e+02,4.658042481427023679e-02,1.246556968610284954e+19
4.750000000000000000e+01,2.706499999999999773e+02,1.041224563764271096e+02,1.041224563764271043e-03,4.200000000000000000e+02,4.373143167809938336e-02,1.170313948895946957e+19
4.800000000000000000e+01,2.706499999999999773e+02,9.775402661820794492e+01,9.775402661820794658e-04,4.200000000000000000e+02,4.105669117964733106e-02,1.098734172179352986e+19
4.850000000000000000e+01,2.706499999999999773e+02,9.177510839282035704e+01,9.177510839282035414e-04,4.200000000000000000e+02,3.854554552498454939e-02,1.031532421068308070e+19
4.900000000000000000e+01,2.706499999999999773e+02,8.616187805142641309e+01,8.616187805142640904e-04,4.200000000000000000e+02,3.618798878159908833e-02,9.684409228889917440e+18
4.950000000000000000e+01,2.706499999999999773e+02,8.089196906826701650e+01,8.089196906826701941e-04,4.200000000000000000e+02,3.397462700867214663e-02,9.092082827166669824e+18
5.000000000000000000e+01,2.706499999999999773e+02,7.594438291881151315e+01,7.594438291881151423e-04,4.200000000000000000e+02,3.189664082590083077e-02,8.535984816653056000e+18
